Owner,Mortgage Amount,Current Balance,Status
Dominique Daybach," $2,257 ", $-   ,Open
William Gigging," $2,730 ", $-   ,Transferred
William Gigging," $2,246 "," $2,246 ",Foreclosure
Buffalo Suburban Estates," $24,823 "," $20,000 ",Foreclosure
